PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Saraiva, EF; Louzada, F				Saraiva, Erlandson F.; Louzada, Francisco			A gene-by-gene multiple comparison analysis: A predictive Bayesian approach	BRAZILIAN JOURNAL OF PROBABILITY AND STATISTICS			English	Article						Gene expression; multiple comparison; Bayesian Inference; Bayes factor; predictive density	EXPRESSION DATA; T-TEST; MICROARRAY; NORMALIZATION; COMPONENTS; VARIANCE	In this paper, we propose a hierarchical Bayesian framework with a prior Dirichlet process for gene-by-gene multiple comparison analysis. The comparison among experimental conditions are made using the posterior probability for hypothesis of equality or inequality. To calculate the posterior probabilities, we use the Polya urn scheme through latent variables and the Bayes factor. The performance of the proposed method, as well as a comparison with usual Tukey-test, are evaluated on artificial data and on a shotgun proteomics data set. The results reveal a better performance of the proposed methodology in identification of difference of means and/or variance.	[Saraiva, Erlandson F.] Univ Fed Mato Grosso do Sul, INMA, Campo Grande, MS, Brazil; [Louzada, Francisco] Univ Sao Paulo, ICMC, Sao Carlos, SP, Brazil		Saraiva, EF (corresponding author), Univ Fed Mato Grosso do Sul, INMA, Campo Grande, MS, Brazil.	erlandson.saraiva@ufms.br; louzada@icmc.usp.br	Louzada, Francisco/E-8463-2011; Saraiva, Erlandson Ferreira/AAE-2419-2019	Louzada, Francisco/0000-0001-7815-9554; Saraiva, Erlandson Ferreira/0000-0002-4698-4004	Brazilian organization CNPq	We thank the Editor and the referees for their comments, suggestions and criticisms which have led to improvements of this article. The researches of Francisco Louzada is supported by the Brazilian organization CNPq.		33	0	0	0	11	BRAZILIAN STATISTICAL ASSOCIATION	SAO PAULO	RUA DO MATAO, 1010 SALA 250A CEP, SAO PAULO, SP 05508-090, BRAZIL	0103-0752			BRAZ J PROBAB STAT	Braz. J. Probab. Stat.	FEB	2015	29	1					145	171		10.1214/13-BJPS233			27	Statistics & Probability	Science Citation Index Expanded (SCI-EXPANDED)	Mathematics	AT7GX	WOS:000345105800008		hybrid, Green Submitted			2022-03-28	
J	Kobayashi, H; Higashiura, Y; Koike, N; Akasaka, J; Uekuri, C; Iwai, K; Niiro, E; Morioka, S; Yamada, Y				Kobayashi, Hiroshi; Higashiura, Yumi; Koike, Natsuki; Akasaka, Juria; Uekuri, Chiharu; Iwai, Kana; Niiro, Emiko; Morioka, Sachiko; Yamada, Yuki			Genes Downregulated in Endometriosis Are Located Near the Known Imprinting Genes	REPRODUCTIVE SCIENCES			English	Review						endometriosis; imprinting genes; chromosomal location; hypermethylation	SINGLE NUCLEOTIDE POLYMORPHISMS; IMPLANTATION FAILURE; DNA METHYLATION; STROMAL CELLS; MOLECULAR-MECHANISMS; II GENE; EXPRESSION; DECIDUALIZATION; DISEASE; TUMOR	There is now accumulating evidence that endometriosis is a disease associated with an epigenetic disorder. Genomic imprinting is an epigenetic phenomenon known to regulate DNA methylation of either maternal or paternal alleles. We hypothesize that hypermethylated endometriosis-associated genes may be enriched at imprinted gene loci. We sought to determine whether downregulated genes associated with endometriosis susceptibility are associated with chromosomal location of the known paternally and maternally expressed imprinting genes. Gene information has been gathered from National Center for Biotechnology Information database geneimprint.com. Several researchers have identified specific loci with strong DNA methylation in eutopic endometrium and ectopic lesion with endometriosis. Of the 29 hypermethylated genes in endometriosis, 19 genes were located near 45 known imprinted foci. There may be an association of the genomic location between genes specifically downregulated in endometriosis and epigenetically imprinted genes.	[Kobayashi, Hiroshi; Higashiura, Yumi; Koike, Natsuki; Akasaka, Juria; Uekuri, Chiharu; Iwai, Kana; Niiro, Emiko; Morioka, Sachiko; Yamada, Yuki] Nara Med Univ, Dept Obstet & Gynecol, Kashihara, Nara 6348522, Japan		Kobayashi, H (corresponding author), Nara Med Univ, Dept Obstet & Gynecol, 840 Shijo Cho, Kashihara, Nara 6348522, Japan.	hirokoba@naramed-u.ac.jp		HIGASHIURA, YUMI/0000-0001-7190-7169	Ministry of Education, Science, and Culture of JapanMinistry of Education, Culture, Sports, Science and Technology, Japan (MEXT)	The author(s) disclosed receipt of the following financial support for the research, authorship and/or publication of this article: This work was supported by Grant-in-aid for Scientific Research from the Ministry of Education, Science, and Culture of Japan to the Department of Obstetrics and Gynecology, Nara Medical University (H. Kobayashi).		96	7	7	1	9	SAGE PUBLICATIONS INC	THOUSAND OAKS	2455 TELLER RD, THOUSAND OAKS, CA 91320 USA	1933-7191	1933-7205		REPROD SCI	Reprod. Sci.	AUG	2014	21	8					966	972		10.1177/1933719114526473			7	Obstetrics & Gynecology; Reproductive Biology	Science Citation Index Expanded (SCI-EXPANDED)	Obstetrics & Gynecology; Reproductive Biology	AN6SD	WOS:000340726200002	24615936	Green Published			2022-03-28	
J	Soneson, C; Fontes, M				Soneson, Charlotte; Fontes, Magnus			Incorporation of gene exchangeabilities improves the reproducibility of gene set rankings	COMPUTATIONAL STATISTICS & DATA ANALYSIS			English	Article						Bioinformatics; Exchangeability; Gene set ranking; Microarray	EXPRESSION DATA; BREAST-CANCER; GLOBAL TEST; MICROARRAY; PREDICTION; KNOWLEDGE; FRAMEWORK; REVEALS; LIST	Gene set-based analysis methods have recently gained increasing popularity for analysis of microarray data. Several studies have indicated that the results from such methods are more reproducible and more easily interpretable than the results from single gene-based methods. A new method for ranking gene sets with respect to their association with a given predictor or response, using a new framework for robust gene list representation, is proposed. Employing the concept of exchangeability of random variables, this method attempts to account for the functional redundancy among the genes. Compared to other evaluated methods for gene set ranking, the proposed method yields rankings that are more robust with respect to sampling variations in the underlying data, which allows more reliable biological conclusions. (C) 2012 Elsevier B.V. All rights reserved.	[Soneson, Charlotte; Fontes, Magnus] Lund Univ, Ctr Math Sci, S-22100 Lund, Sweden		Soneson, C (corresponding author), Univ Lausanne, Swiss Inst Bioinformat, Batiment Genopode, CH-1015 Lausanne, Switzerland.	Charlotte.Soneson@isb-sib.ch; fontes@maths.lth.se						37	0	0	0	11	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	0167-9473	1872-7352		COMPUT STAT DATA AN	Comput. Stat. Data Anal.	MAR	2014	71				SI		588	598		10.1016/j.csda.2012.07.026			11	Computer Science, Interdisciplinary Applications; Statistics & Probability	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science; Mathematics	278DJ	WOS:000328869000043					2022-03-28	
J	Hart, T; Komori, HK; LaMere, S; Podshivalova, K; Salomon, DR				Hart, Traver; Komori, H. Kiyomi; LaMere, Sarah; Podshivalova, Katie; Salomon, Daniel R.			Finding the active genes in deep RNA-seq gene expression studies	BMC GENOMICS			English	Article							QUANTIFICATION; TRANSCRIPTOME	Background: Early application of second-generation sequencing technologies to transcript quantitation (RNA-seq) has hinted at a vast mammalian transcriptome, including transcripts from nearly all known genes, which might be fully measured only by ultradeep sequencing. Subsequent studies suggested that low-abundance transcripts might be the result of technical or biological noise rather than active transcripts; moreover, most RNA-seq experiments did not provide enough read depth to generate high-confidence estimates of gene expression for low-abundance transcripts. As a result, the community adopted several heuristics for RNA-seq analysis, most notably an arbitrary expression threshold of 0.3 - 1 FPKM for downstream analysis. However, advances in RNA-seq library preparation, sequencing technology, and informatic analysis have addressed many of the systemic sources of uncertainty and undermined the assumptions that drove the adoption of these heuristics. We provide an updated view of the accuracy and efficiency of RNA-seq experiments, using genomic data from large-scale studies like the ENCODE project to provide orthogonal information against which to validate our conclusions. Results: We show that a human cell's transcriptome can be divided into active genes carrying out the work of the cell and other genes that are likely the by-products of biological or experimental noise. We use ENCODE data on chromatin state to show that ultralow-expression genes are predominantly associated with repressed chromatin; we provide a novel normalization metric, zFPKM, that identifies the threshold between active and background gene expression; and we show that this threshold is robust to experimental and analytical variations. Conclusions: The zFPKM normalization method accurately separates the biologically relevant genes in a cell, which are associated with active promoters, from the ultralow-expression noisy genes that have repressed promoters. A read depth of twenty to thirty million mapped reads allows high-confidence quantitation of genes expressed at this threshold, providing important guidance for the design of RNA-seq studies of gene expression. Moreover, we offer an example for using extensive ENCODE chromatin state information to validate RNA-seq analysis pipelines.	[Hart, Traver] Univ Toronto, Banting & Best Dept Med Res, Donnelly Ctr, Toronto, ON, Canada; [Komori, H. Kiyomi; LaMere, Sarah; Podshivalova, Katie; Salomon, Daniel R.] Scripps Res Inst, Dept Mol & Expt Med, La Jolla, CA 92037 USA		Hart, T (corresponding author), Univ Toronto, Banting & Best Dept Med Res, Donnelly Ctr, Toronto, ON, Canada.	traver.hart@gmail.com	Podshivalova, Katie/K-7401-2019	LaMere, Sarah/0000-0002-4612-0425; Hart, Traver/0000-0002-1880-3341	NIHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA [U19 AI063603, U01 AI084146, U01 AI063594]; National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA [TL1 RR025772-03]; NATIONAL CENTER FOR RESEARCH RESOURCESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Center for Research Resources (NCRR) [TL1RR025772] Funding Source: NIH RePORTER; NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASESUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Allergy & Infectious Diseases (NIAID) [U01AI063594, U01AI084146, U19AI063603] Funding Source: NIH RePORTER	Funding for this work was provided by NIH grants U19 AI063603, U01 AI084146 and U01 AI063594 (ARRA). SL and KP were supported by National Institutes of Health TL1 RR025772-03.		20	116	118	1	23	BMC	LONDON	CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	1471-2164			BMC GENOMICS	BMC Genomics	NOV 11	2013	14								778	10.1186/1471-2164-14-778			7	Biotechnology & Applied Microbiology; Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Biotechnology & Applied Microbiology; Genetics & Heredity	274XT	WOS:000328640200004	24215113	gold, Green Published			2022-03-28	
J	Pulkkinen, O; Metzler, R				Pulkkinen, Otto; Metzler, Ralf			Distance Matters: The Impact of Gene Proximity in Bacterial Gene Regulation	PHYSICAL REVIEW LETTERS			English	Article							FACILITATED TARGET LOCATION; DNA-BINDING PROTEINS; ESCHERICHIA-COLI; TRANSCRIPTIONAL REGULATION; EXPRESSION; MOLECULE; KINETICS; SEARCH; CELLS; DIFFUSION	Following recent discoveries of colocalization of downstream-regulating genes in living cells, the impact of the spatial distance between such genes on the kinetics of gene product formation is increasingly recognized. We here show from analytical and numerical analysis that the distance between a transcription factor (TF) gene and its target gene drastically affects the speed and reliability of transcriptional regulation in bacterial cells. For an explicit model system, we develop a general theory for the interactions between a TF and a transcription unit. The observed variations in regulation efficiency are linked to the magnitude of the variation of the TF concentration peaks as a function of the binding site distance from the signal source. Our results support the role of rapid binding site search for gene colocalization and emphasize the role of local concentration differences.	[Pulkkinen, Otto; Metzler, Ralf] Tampere Univ Technol, Dept Phys, FI-33101 Tampere, Finland; [Metzler, Ralf] Univ Potsdam, Inst Phys & Astron, D-14476 Potsdam, Germany		Pulkkinen, O (corresponding author), Tampere Univ Technol, Dept Phys, FI-33101 Tampere, Finland.		Metzler, Ralf/J-9088-2013	Metzler, Ralf/0000-0002-6013-7020; Pulkkinen, Otto/0000-0001-5739-6278	Academy of FinlandAcademy of Finland	We acknowledge funding from the Academy of Finland (FiDiPro scheme).		47	90	90	0	25	AMER PHYSICAL SOC	COLLEGE PK	ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA	0031-9007			PHYS REV LETT	Phys. Rev. Lett.	MAY 10	2013	110	19							198101	10.1103/PhysRevLett.110.198101			5	Physics, Multidisciplinary	Science Citation Index Expanded (SCI-EXPANDED)	Physics	195WU	WOS:000322735100012	23705743	Green Submitted			2022-03-28	
J	Wong, TT; Chen, DQ				Wong, Tzu-Tsung; Chen, Ding-Qun			A gene selection method for microarray data based on risk genes	EXPERT SYSTEMS WITH APPLICATIONS			English	Article						Cancer classification; Clustering analysis; Gene selection; Microarray data; Risk genes	BREAST-CANCER SUSCEPTIBILITY; EXPRESSION DATA; SAMPLE CLASSIFICATION; TUMOR CLASSIFICATION; MUTATIONS; IDENTIFICATION; BRCA2	Many gene selection methods have been proposed to select a subset of genes that can have a high prediction accuracy for cancer classification, and most set the same preference for all genes. However, many biological reports have pointed out that mutated or flawed genes, named as risk genes, can be one of the major causes of a specific disease. This study proposes a gene selection method based on the risk genes found in biological reports. The information provided by risk genes can reduce the time complexity for gene selection and increase the accuracy of cancer classification. This gene selection method is composed of two stages. Since all risk genes must be chosen, the first stage is to remove the genes that have similar expression levels or functions to risk genes. The next stage is to perform gene selection and gene replacement based on the results of a process that divides the remaining genes into clusters. Based on the test results from four microarray data sets, our gene selection method outperforms those proposed by previous studies, and genes that have the potential to be new risk genes are presented. (C) 2011 Elsevier Ltd. All rights reserved.	[Wong, Tzu-Tsung; Chen, Ding-Qun] Natl Cheng Kung Univ, Inst Informat Management, Tainan 701, Taiwan		Wong, TT (corresponding author), Natl Cheng Kung Univ, Inst Informat Management, 1 Ta Sheuh Rd, Tainan 701, Taiwan.	tzutsung@mail.ncku.edu.tw			National Science Council in TaiwanMinistry of Science and Technology, Taiwan [NSC 96-2416-H-006-012]	This work was supported by the National Science Council in Taiwan under Grant No. NSC 96-2416-H-006-012.		45	3	4	0	12	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0957-4174	1873-6793		EXPERT SYST APPL	Expert Syst. Appl.	OCT	2011	38	11					14065	14071		10.1016/j.eswa.2011.04.215			7	Computer Science, Artificial Intelligence; Engineering, Electrical & Electronic; Operations Research & Management Science	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science; Engineering; Operations Research & Management Science	809VL	WOS:000294084700063					2022-03-28	
J	Pizzonia, KL; Bryant, AM; Clark, LA; Clark, BC; Suhr, JA				Pizzonia, Kendra L.; Bryant, Andrew M.; Clark, Leatha A.; Clark, Brian C.; Suhr, Julie A.			Investigating Gene-Gene Interactions by Cognitive Domain in Healthy Older Adults	ARCHIVES OF CLINICAL NEUROPSYCHOLOGY			English	Meeting Abstract																		0	0	0	0	0	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	0887-6177	1873-5843		ARCH CLIN NEUROPSYCH	Arch. Clin. Neuropsychol.	SEP	2021	36	6				A-11	1051	1051		10.1093/arclin/acab062.29			1	Psychology, Clinical; Psychology	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Psychology	UQ0FU	WOS:000695749300044					2022-03-28	
J	Yu, X; Weng, TF; Gu, CG; Yang, HJ				Yu, Xiao; Weng, Tongfeng; Gu, Changgui; Yang, Huijie			Comparison of gene regulatory networks to identify pathogenic genes for lymphoma	JOURNAL OF BIOINFORMATICS AND COMPUTATIONAL BIOLOGY			English	Article						Pathogenic genes for lymphoma; comparison of networks; filtered gene regulatory networks	ACUTE PROMYELOCYTIC LEUKEMIA; STEM-CELL TRANSPLANTATION; HODGKINS-LYMPHOMA; CENTRALITY; DISEASE; FEATURES; ERRORS	Lymphoma is the most complicated cancer that can be divided into several tens of subtypes. It may occur in any part of body that has lymphocytes, and is closely correlated with diverse environmental factors such as the ionizing radiation, chemocarcinogenesis, and virus infection. All the environmental factors affect the lymphoma through genes. Identifying pathogenic genes for lymphoma is consequently an essential task to understand its complexity in a unified framework. In this paper, we propose a new method to expose high-confident edges in gene regulatory networks (GRNs) for a total of 32 organs, called Filtered GRNs (f-GRNs), comparison of which gives us a proper reference for the Lymphoma, i.e. the B-lymphocytes cells, whose f-GRN is closest with that for the Lymphoma. By using the Gene Ontology and Biological Process analysis we display the differences of the two networks' hubs in biological functions. Matching with the Genecards shows that most of the hubs take part in the genetic information transmission and expression, except a specific gene of Retinoic Acid Receptor Alpha (RARA) that encodes the retinoic acid receptor. In the lymphoma, the genes in the RARA ego-network are involved in two cancer pathways, and the RARA is present only in these cancer pathways. For the lymphoid B cells, however, the genes in the RARA ego-network do not participate in cancer-related pathways.	[Yu, Xiao; Weng, Tongfeng; Gu, Changgui; Yang, Huijie] Univ Shanghai Sci & Technol, Dept Syst Sci, Jungong Rd 516, Shanghai 200093, Peoples R China		Yang, HJ (corresponding author), Univ Shanghai Sci & Technol, Dept Syst Sci, Jungong Rd 516, Shanghai 200093, Peoples R China.	yu_xiao127@163.com; wtongfeng2006@163.com; gu_changgui@163.com; hjyang@usst.edu.cn		Yang, Huijie/0000-0001-5985-245X	National Nature Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11805128, 11875042, 11505114, 10975099]; Shanghai project for construction of top disciplines [USST-SYS-01]	This work is supported by the National Nature Science Foundation of China under Grant Nos. 11805128 (T.-F. Weng), 11875042 (C.-G. Gu), 11505114 (C.-G. Gu), and 10975099 (H.-J. Yang). The authors would also thank the support from the Shanghai project for construction of top disciplines under Grant No. USST-SYS-01.		46	0	0	1	3	WORLD SCIENTIFIC PUBL CO PTE LTD	SINGAPORE	5 TOH TUCK LINK, SINGAPORE 596224, SINGAPORE	0219-7200	1757-6334		J BIOINF COMPUT BIOL	J. Bioinform. Comput. Biol.	OCT	2020	18	5							2050029	10.1142/S0219720020500298			18	Biochemical Research Methods; Computer Science, Interdisciplinary Applications; Mathematical & Computational Biology	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Computer Science; Mathematical & Computational Biology	OO8XJ	WOS:000587657300004	33131362				2022-03-28	
J	Nietfeld, F; Holtig, D; Willems, H; Valentin-Weigand, P; Wurmser, C; Waldmann, KH; Fries, R; Reiner, G				Nietfeld, Florian; Hoeltig, Doris; Willems, Hermann; Valentin-Weigand, Peter; Wurmser, Christine; Waldmann, Karl-Heinz; Fries, Ruedi; Reiner, Gerald			Candidate genes and gene markers for the resistance to porcine pleuropneumonia	MAMMALIAN GENOME			English	Article							WHOLE-GENOME ASSOCIATION; CELL ADHESION MOLECULE-1; ACTINOBACILLUS-PLEUROPNEUMONIAE; POLAR OVERDOMINANCE; DISEASE RESISTANCE; CHRONIC PLEURITIS; SYNONYMOUS SNPS; BINDING; COLLAGEN; EXPRESSION	Actinobacillus (A.) pleuropneumoniae is one of the most important respiratory pathogens in global pig production. Antimicrobial treatment and vaccination provide only limited protection, but genetic disease resistance is a very promising alternative for sustainable prophylaxis. Previous studies have discovered multiple QTL that may explain up to 30% of phenotypic variance. Based on these findings, the aim of the present study was to use genomic sequencing to identify genetic markers for resistance to pleuropneumonia in a segregating commercial German Landrace line. 163 pigs were infected with A. pleuropneumoniae Serotype 7 through a standardized aerosol infection method. Phenotypes were accurately defined on a clinical, pathological and microbiological basis. The 58 pigs with the most extreme phenotypes were genotyped by sequencing (next-generation sequencing). SNPs were used in a genome-wide association study. The study identified genome-wide associated SNPs on three chromosomes, two of which were chromosomes of QTL which had been mapped in a recent experiment. Each variant explained up to 20% of the total phenotypic variance. Combined, the three variants explained 52.8% of the variance. The SNPs are located in genes involved in the pathomechanism of pleuropneumonia. This study confirms the genetic background for the host's resistance to pleuropneumonia and indicates a potential role of three candidates on SSC2, SSC12 and SSC15. Favorable gene variants are segregating in commercial populations. Further work is needed to verify the results in a controlled study and to identify the functional QTN.	[Nietfeld, Florian; Willems, Hermann; Reiner, Gerald] Justus Liebig Univ, Dept Vet Clin Sci, Giessen, Germany; [Hoeltig, Doris; Waldmann, Karl-Heinz] Univ Vet Med Hannover, Clin Swine Small Ruminants Forens Med & Ambulator, Hannover, Germany; [Valentin-Weigand, Peter] Univ Vet Med Hannover, Inst Microbiol, Hannover, Germany; [Wurmser, Christine; Fries, Ruedi] Tech Univ Munich, Chair Anim Breeding, Freising Weihenstephan, Germany		Reiner, G (corresponding author), Justus Liebig Univ, Dept Vet Clin Sci, Giessen, Germany.	gerald.reiner@vetmed.uni-giessen.de						63	3	3	2	3	SPRINGER	NEW YORK	ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES	0938-8990	1432-1777		MAMM GENOME	Mamm. Genome	FEB	2020	31	1-2					54	67		10.1007/s00335-019-09825-0			14	Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology; Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology; Genetics & Heredity	KS7SA	WOS:000518505500006	31960078	Green Published, hybrid			2022-03-28	
J	Dai, ZM				Dai, Zhiming			Gene Repositioning Is Under Constraints After Evolutionary Conserved Gene Neighborhood Separate	FRONTIERS IN GENETICS			English	Article						genomic neighbors; chromatin regulation; gene expression; yeast; bioinformatics	COEXPRESSED GENES; CAENORHABDITIS-ELEGANS; ORGANIZATION; CLUSTERS; CHROMOSOMES; GENOMES; ORDER	Genes are not randomly distributed on eukaryotic chromosomes. Some neighboring genes show order conservation among species, while some neighboring genes separate during evolution even though their neighborhoods are conserved in some species. Here, I investigated whether after-separation gene repositioning is under natural selection for evolutionary conserved gene neighborhoods compared with nonconserved neighborhoods. After separation, genes with conserved neighborhoods show low-expression divergence between the after-separation species and the before-separation species. After genes separate from their conserved gene neighbors, their after-separation gene neighbors tend to show coexpression and coprotein complex with their before-separation gene neighbors. These results indicate evolutionary constraints on the selection of neighboring genes after evolutionary conserved gene neighborhoods separate.	[Dai, Zhiming] Sun Yat Sen Univ, Sch Data & Comp Sci, Guangzhou, Guangdong, Peoples R China; [Dai, Zhiming] Sun Yat Sen Univ, Guangdong Prov Key Lab Big Data Anal & Proc, Guangzhou, Guangdong, Peoples R China		Dai, ZM (corresponding author), Sun Yat Sen Univ, Sch Data & Comp Sci, Guangzhou, Guangdong, Peoples R China.; Dai, ZM (corresponding author), Sun Yat Sen Univ, Guangdong Prov Key Lab Big Data Anal & Proc, Guangzhou, Guangdong, Peoples R China.	daizhim@mail.sysu.edu.cn			National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [61872395, U1611265]; Natural Science Foundation of Guangdong ProvinceNational Natural Science Foundation of Guangdong Province [2018A030313285]; Pearl River Nova Program of Guangzhou [201710010044]	This work was supported by National Natural Science Foundation of China (NSFC) (grant nos. 61872395 and U1611265), by Natural Science Foundation of Guangdong Province (2018A030313285), and also by Pearl River Nova Program of Guangzhou (201710010044).		43	1	1	0	1	FRONTIERS MEDIA SA	LAUSANNE	AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND		1664-8021		FRONT GENET	Front. Genet.	OCT 3	2019	10									10.3389/fgene.2019.01030			8	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	JC9AN	WOS:000489567300001	31632448	gold, Green Published			2022-03-28	
J	Wang, H; Guo, J; Jiang, J; Wu, W; Chang, X; Zhou, H; Li, Z; Zhao, J				Wang, H.; Guo, J.; Jiang, J.; Wu, W.; Chang, X.; Zhou, H.; Li, Z.; Zhao, J.			New genes associated with rheumatoid arthritis identified by gene expression profiling	INTERNATIONAL JOURNAL OF IMMUNOGENETICS			English	Article						case/control; differentially expressed genes (DEGs); gene expression; PBMCs; RA-associated; rheumatoid arthritis	ANKYLOSING-SPONDYLITIS; MEDICAL-MANAGEMENT; CRITERIA; DEHYDROGENASE/REDUCTASE; CLASSIFICATION; OSTEOARTHRITIS; SUSCEPTIBILITY; INFLAMMATION; GUIDELINES; DISEASE	In this study, we aimed to find new genes associated with rheumatoid arthritis (RA) so that more comprehensive genes would be used for monitoring and/or diagnosing patients. Illumina digital gene expression profiling was applied in two sample types - peripheral blood mononuclear cells (PBMCs) and synovial cells to compare the gene expression pattern between 17 patients with RA and three control groups (six osteoarthritis patients, three ankylosing spondylitis patients and 17 healthy controls). Bioinformatics was performed on pathway analysis and protein-protein interaction networks. Four novel genes from PBMCs - DHRS3, TTC38, SAP30BP and LPIN2 - were found to be associated with RA and further confirmed through quantitative real-time polymerase chain reaction. Five new differentially expressed genes (EPYC, LIFR, GLDN, TADA3 and ZNRF3) found in synovial cells were not confirmed. Pathway analyses revealed 10 significantly enriched pathways, and a protein-protein interaction network analysis showed that four novel PBMC-derived genes were connected to previously reported genes by four intermediate genes. Therefore, we proposed that four newly identified PBMC-derived genes could be integrated with previously reported RA-associated genes to monitor and/or diagnose RA.	[Wang, H.; Jiang, J.; Wu, W.; Zhao, J.] Chinese Acad Sci, Beijing Inst Genom, Key Lab Genome Sci & Informat, Beijing, Peoples R China; [Guo, J.; Li, Z.] Peking Univ, Dept Rheumatol & Immunol, Peoples Hosp, Beijing, Peoples R China; [Chang, X.] Qianfoshan Hosp, Dept Rheumatol & Immunol, Jinan, Peoples R China; [Zhou, H.] Shenzhen Second Peoples Hosp, Dept Rheumatol & Immunol, Shenzhen, Peoples R China		Zhao, J (corresponding author), Chinese Acad Sci, Beijing Inst Genom, Beijing, Peoples R China.	Zhaojy526@gmail.com			Major State Basic Research Development Program of ChinaNational Basic Research Program of China [2010CB529101]	The Major State Basic Research Development Program of China, Grant/Award Number: 2010CB529101		30	8	8	0	9	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	1744-3121	1744-313X		INT J IMMUNOGENET	Int. J. Immunogenet.	JUN	2017	44	3					107	113		10.1111/iji.12313			7	Genetics & Heredity; Immunology	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity; Immunology	EU4EC	WOS:000400981600002	28371410				2022-03-28	
J	Bynum, JA; Peltier, G; Taylor, AS; Meledeo, MA; Cap, AP				Bynum, J. A.; Peltier, G.; Taylor, A. S.; Meledeo, M. A.; Cap, A. P.			Gene Expression Profiling Reveals Key Mitochondrial Gene Changes in Stored Platelets	TRANSFUSION			English	Meeting Abstract	AABB Annual Meeting	OCT 22-25, 2016	Orlando, FL	AABB					[Bynum, J. A.; Peltier, G.; Taylor, A. S.; Meledeo, M. A.; Cap, A. P.] US Army, Inst Surg Res, San Antonio, TX USA									0	0	0	0	0	WILEY-BLACKWELL	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0041-1132	1537-2995		TRANSFUSION	Transfusion	SEP	2016	56			4	SI	SP203	116A	117A					2	Hematology	Science Citation Index Expanded (SCI-EXPANDED); Conference Proceedings Citation Index - Science (CPCI-S)	Hematology	DX8NS	WOS:000384646400307					2022-03-28	
J	Ellstrand, NC; Rieseberg, LH				Ellstrand, Norman C.; Rieseberg, Loren H.			When gene flow really matters: gene flow in applied evolutionary biology	EVOLUTIONARY APPLICATIONS			English	Editorial Material							WEEDY POPULATIONS; HYBRIDIZATION; WILD; PERSPECTIVE; MANAGEMENT; ADMIXTURE; REVEALS; RESCUE; PLANTS; RICE		[Ellstrand, Norman C.] Univ Calif Riverside, Dept Bot & Plant Sci, Ctr Conservat Biol, Riverside, CA 92521 USA; [Rieseberg, Loren H.] Univ British Columbia, Dept Bot, Vancouver, BC, Canada		Ellstrand, NC (corresponding author), Univ Calif Riverside, Dept Bot & Plant Sci, Ctr Conservat Biol, Riverside, CA 92521 USA.		Rieseberg, Loren H/B-3591-2013	Rieseberg, Loren H/0000-0002-2712-2417				33	34	36	0	71	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	1752-4571			EVOL APPL	Evol. Appl.	AUG	2016	9	7			SI		833	836		10.1111/eva.12402			4	Evolutionary Biology	Science Citation Index Expanded (SCI-EXPANDED)	Evolutionary Biology	DR5GW	WOS:000379932500001	27468301	Green Published, gold			2022-03-28	
